Industry,Industry Description,Year,Value Added (Billions Chained 2009)
GSLE,"Government enterprises",2008,112.6
GSLG,"General government",2008,1298.9
HS,"Housing",2008,1457.6
ICT,"Information-communications-technology-producing industries [4]",2008,871.9
NABI,"Not allocated by industry [1]",2008,-37.7
ORE,"Other real estate",2008,287.5
PGOOD,"Private goods-producing industries [2]",2008,2884.3
PROF,"Professional and business services",2008,1777.8
PSERV,"Private services-producing industries [3]",2008,9874.2
PVT,"Private industries",2008,12760.2
11,"Agriculture, forestry, fishing, and hunting",2009,137.7
111CA,"Farms",2009,109.8
113FF,"Forestry, fishing, and related activities",2009,27.9
21,"Mining",2009,290.3
211,"Oil and gas extraction",2009,184.6
212,"Mining, except oil and gas",2009,65.8
213,"Support activities for mining",2009,40.0
22,"Utilities",2009,250.8
23,"Construction",2009,577.3
311FT,"Food and beverage and tobacco products",2009,243.2
313TT,"Textile mills and textile product mills",2009,15.1
315AL,"Apparel and leather and allied products",2009,9.9
31G,"Manufacturing",2009,1726.7
31ND,"Nondurable goods",2009,852.4
321,"Wood products",2009,20.7
322,"Paper products",2009,58.5
323,"Printing and related support activities",2009,39.3
324,"Petroleum and coal products",2009,114.6
325,"Chemical products",2009,310.3
326,"Plastics and rubber products",2009,61.5
327,"Nonmetallic mineral products",2009,37.3
331,"Primary metals",2009,40.1
332,"Fabricated metal products",2009,117.9
333,"Machinery",2009,115.6
334,"Computer and electronic products",2009,228.9
335,"Electrical equipment, appliances, and components",2009,50.2
3361MV,"Motor vehicles, bodies and trailers, and parts",2009,48.4
3364OT,"Other transportation equipment",2009,111.9
337,"Furniture and related products",2009,23.1
339,"Miscellaneous manufacturing",2009,80.2
33DG,"Durable goods",2009,874.3
42,"Wholesale trade",2009,822.8
441,"Motor vehicle and parts dealers",2009,133.0
445,"Food and beverage stores",2009,133.7
44RT,"Retail trade",2009,842.1
452,"General merchandise stores",2009,131.7
481,"Air transportation",2009,63.7
482,"Rail transportation",2009,33.7
483,"Water transportation",2009,16.6
484,"Truck transportation",2009,109.3
485,"Transit and ground passenger transportation",2009,27.2
486,"Pipeline transportation",2009,14.0
487OS,"Other transportation and support activities",2009,88.4
48TW,"Transportation and warehousing",2009,398.8
493,"Warehousing and storage",2009,45.9
4A0,"Other retail",2009,443.7
51,"Information",2009,705.3
511,"Publishing industries, except internet (includes software)",2009,175.8
512,"Motion picture and sound recording industries",2009,90.8
513,"Broadcasting and telecommunications",2009,372.3
514,"Data processing, internet publishing, and other information services",2009,66.5
52,"Finance and insurance",2009,969.3
521CI,"Federal Reserve banks, credit intermediation, and related activities",2009,399.5
523,"Securities, commodity contracts, and investments",2009,186.7
524,"Insurance carriers and related activities",2009,357.6
