Industry,Industry Description,Year,GDP (Billions Chained 2009)
5415,"Computer systems design and related services",2008,269.8
55,"Management of companies and enterprises",2008,445.6
56,"Administrative and waste management services",2008,683.5
561,"Administrative and support services",2008,603.6
562,"Waste management and remediation services",2008,80.1
6,"Educational services, health care, and social assistance",2008,1926.1
61,"Educational services",2008,249.3
62,"Health care and social assistance",2008,1676.7
621,"Ambulatory health care services",2008,767.6
622,"Hospitals",2008,578.3
623,"Nursing and residential care facilities",2008,185.5
624,"Social assistance",2008,145.3
7,"Arts, entertainment, recreation, accommodation, and food services",2008,989.0
71,"Arts, entertainment, and recreation",2008,249.6
711AS,"Performing arts, spectator sports, museums, and related activities",2008,134.0
713,"Amusements, gambling, and recreation industries",2008,115.5
72,"Accommodation and food services",2008,739.4
721,"Accommodation",2008,194.5
722,"Food services and drinking places",2008,544.8
81,"Other services, except government",2008,565.4
FIRE,"Finance, insurance, real estate, rental, and leasing",2008,4535.9
G,"Government",2008,3135.2
GF,"Federal",2008,1022.9
GFE,"Government enterprises",2008,103.6
GFG,"General government",2008,919.8
GFGD,"National defense",2008,600.0
GFGN,"Nondefense",2008,319.6
GSL,"State and local",2008,2112.3
GSLE,"Government enterprises",2008,233.4
GSLG,"General government",2008,1878.9
HS,"Housing",2008,1579.6
ICT,"Information-communications-technology-producing industries [4]",2008,1478.6
II,"All industries",2008,26232.3
NABI,"Not allocated by industry [1]",2008,-24.2
ORE,"Other real estate",2008,779.6
PGOOD,"Private goods-producing industries [2]",2008,7080.6
PROF,"Professional and business services",2008,2754.1
PSERV,"Private services-producing industries [3]",2008,15999.5
PVT,"Private industries",2008,23093.0
11,"Agriculture, forestry, fishing, and hunting",2009,341.9
111CA,"Farms",2009,301.2
113FF,"Forestry, fishing, and related activities",2009,40.8
21,"Mining",2009,380.4
211,"Oil and gas extraction",2009,223.6
212,"Mining, except oil and gas",2009,104.4
213,"Support activities for mining",2009,52.4
22,"Utilities",2009,389.3
23,"Construction",2009,1090.4
311FT,"Food and beverage and tobacco products",2009,774.9
313TT,"Textile mills and textile product mills",2009,46.1
315AL,"Apparel and leather and allied products",2009,17.7
31G,"Manufacturing",2009,4469.3
31ND,"Nondurable goods",2009,2350.7
321,"Wood products",2009,64.4
322,"Paper products",2009,160.0
323,"Printing and related support activities",2009,83.8
324,"Petroleum and coal products",2009,479.4
325,"Chemical products",2009,622.6
326,"Plastics and rubber products",2009,166.2
327,"Nonmetallic mineral products",2009,88.9
331,"Primary metals",2009,166.0
332,"Fabricated metal products",2009,280.4
333,"Machinery",2009,284.4
334,"Computer and electronic products",2009,353.4
335,"Electrical equipment, appliances, and components",2009,101.8
3361MV,"Motor vehicles, bodies and trailers, and parts",2009,320.0
3364OT,"Other transportation equipment",2009,250.1
337,"Furniture and related products",2009,59.7
339,"Miscellaneous manufacturing",2009,149.4
33DG,"Durable goods",2009,2118.7
42,"Wholesale trade",2009,1092.0
441,"Motor vehicle and parts dealers",2009,153.2
445,"Food and beverage stores",2009,191.9
44RT,"Retail trade",2009,1222.5
452,"General merchandise stores",2009,208.7
481,"Air transportation",2009,136.3
482,"Rail transportation",2009,55.4
483,"Water transportation",2009,49.2
484,"Truck transportation",2009,233.2
485,"Transit and ground passenger transportation",2009,45.1
486,"Pipeline transportation",2009,24.0
487OS,"Other transportation and support activities",2009,159.2
48TW,"Transportation and warehousing",2009,773.5
493,"Warehousing and storage",2009,71.1
4A0,"Other retail",2009,668.7
51,"Information",2009,1205.4
511,"Publishing industries, except internet (includes software)",2009,286.6
512,"Motion picture and sound recording industries",2009,125.9
513,"Broadcasting and telecommunications",2009,660.4
514,"Data processing, internet publishing, and other information services",2009,132.5
52,"Finance and insurance",2009,1854.3
521CI,"Federal Reserve banks, credit intermediation, and related activities",2009,689.8
523,"Securities, commodity contracts, and investments",2009,403.0
524,"Insurance carriers and related activities",2009,662.4
525,"Funds, trusts, and other financial vehicles",2009,99.2
53,"Real estate and rental and leasing",2009,2566.4
531,"Real estate",2009,2317.4
532RL,"Rental and leasing services and lessors of intangible assets",2009,249.0
54,"Professional, scientific, and technical services",2009,1548.7
5411,"Legal services",2009,276.4
5412OP,"Miscellaneous professional, scientific, and technical services",2009,1006.2
5415,"Computer systems design and related services",2009,266.2
55,"Management of companies and enterprises",2009,415.3
56,"Administrative and waste management services",2009,632.2
561,"Administrative and support services",2009,558.5
562,"Waste management and remediation services",2009,73.8
6,"Educational services, health care, and social assistance",2009,1975.2
61,"Educational services",2009,259.0
62,"Health care and social assistance",2009,1716.1
621,"Ambulatory health care services",2009,777.3
622,"Hospitals",2009,602.8
623,"Nursing and residential care facilities",2009,186.6
624,"Social assistance",2009,149.3
7,"Arts, entertainment, recreation, accommodation, and food services",2009,943.1
71,"Arts, entertainment, and recreation",2009,243.1
711AS,"Performing arts, spectator sports, museums, and related activities",2009,132.3
713,"Amusements, gambling, and recreation industries",2009,110.8
72,"Accommodation and food services",2009,700.0
721,"Accommodation",2009,178.4
722,"Food services and drinking places",2009,521.6
81,"Other services, except government",2009,526.0
FIRE,"Finance, insurance, real estate, rental, and leasing",2009,4420.7
G,"Government",2009,3231.3
GF,"Federal",2009,1074.2
GFE,"Government enterprises",2009,96.2
GFG,"General government",2009,978.1
GFGD,"National defense",2009,636.5
GFGN,"Nondefense",2009,341.5
GSL,"State and local",2009,2157.1
GSLE,"Government enterprises",2009,243.2
GSLG,"General government",2009,1913.9
HS,"Housing",2009,1591.0
ICT,"Information-communications-technology-producing industries [4]",2009,1422.4
II,"All industries",2009,24657.2
NABI,"Not allocated by industry [1]",2009,0.0
ORE,"Other real estate",2009,726.4
PGOOD,"Private goods-producing industries [2]",2009,6282.0
PROF,"Professional and business services",2009,2596.3
PSERV,"Private services-producing industries [3]",2009,15143.9
PVT,"Private industries",2009,21425.9
11,"Agriculture, forestry, fishing, and hunting",2010,346.2
111CA,"Farms",2010,304.6
113FF,"Forestry, fishing, and related activities",2010,41.7
21,"Mining",2010,391.2
211,"Oil and gas extraction",2010,227.1
212,"Mining, except oil and gas",2010,105.5
213,"Support activities for mining",2010,59.3
22,"Utilities",2010,413.8
23,"Construction",2010,1008.0
311FT,"Food and beverage and tobacco products",2010,773.1
313TT,"Textile mills and textile product mills",2010,48.7
315AL,"Apparel and leather and allied products",2010,18.5
31G,"Manufacturing",2010,4717.5
31ND,"Nondurable goods",2010,2395.2
321,"Wood products",2010,66.3
322,"Paper products",2010,162.4
323,"Printing and related support activities",2010,83.4
324,"Petroleum and coal products",2010,466.4
325,"Chemical products",2010,664.9
326,"Plastics and rubber products",2010,180.1
327,"Nonmetallic mineral products",2010,91.2
331,"Primary metals",2010,203.3
332,"Fabricated metal products",2010,293.3
333,"Machinery",2010,315.1
334,"Computer and electronic products",2010,374.1
335,"Electrical equipment, appliances, and components",2010,105.8
3361MV,"Motor vehicles, bodies and trailers, and parts",2010,420.2
3364OT,"Other transportation equipment",2010,245.5
337,"Furniture and related products",2010,57.4
339,"Miscellaneous manufacturing",2010,152.3
33DG,"Durable goods",2010,2326.1
42,"Wholesale trade",2010,1225.0
441,"Motor vehicle and parts dealers",2010,200.1
445,"Food and beverage stores",2010,203.6
44RT,"Retail trade",2010,1314.1
452,"General merchandise stores",2010,203.0
481,"Air transportation",2010,143.0
482,"Rail transportation",2010,64.0
483,"Water transportation",2010,49.6
484,"Truck transportation",2010,249.1
485,"Transit and ground passenger transportation",2010,43.9
486,"Pipeline transportation",2010,23.9
487OS,"Other transportation and support activities",2010,161.4
48TW,"Transportation and warehousing",2010,812.2
493,"Warehousing and storage",2010,77.5
4A0,"Other retail",2010,707.5
51,"Information",2010,1257.1
511,"Publishing industries, except internet (includes software)",2010,290.2
512,"Motion picture and sound recording industries",2010,135.7
513,"Broadcasting and telecommunications",2010,689.8
514,"Data processing, internet publishing, and other information services",2010,141.3
52,"Finance and insurance",2010,1834.2
521CI,"Federal Reserve banks, credit intermediation, and related activities",2010,635.5
523,"Securities, commodity contracts, and investments",2010,407.4
524,"Insurance carriers and related activities",2010,689.5
525,"Funds, trusts, and other financial vehicles",2010,102.5
53,"Real estate and rental and leasing",2010,2634.5
531,"Real estate",2010,2369.8
532RL,"Rental and leasing services and lessors of intangible assets",2010,264.7
54,"Professional, scientific, and technical services",2010,1588.8
5411,"Legal services",2010,270.9
5412OP,"Miscellaneous professional, scientific, and technical services",2010,1026.5
5415,"Computer systems design and related services",2010,291.8
55,"Management of companies and enterprises",2010,442.2
56,"Administrative and waste management services",2010,670.0
561,"Administrative and support services",2010,589.6
562,"Waste management and remediation services",2010,80.5
6,"Educational services, health care, and social assistance",2010,2017.5
61,"Educational services",2010,273.1
62,"Health care and social assistance",2010,1744.2
621,"Ambulatory health care services",2010,788.3
622,"Hospitals",2010,611.7
623,"Nursing and residential care facilities",2010,190.9
624,"Social assistance",2010,153.2
7,"Arts, entertainment, recreation, accommodation, and food services",2010,955.5
71,"Arts, entertainment, and recreation",2010,243.7
711AS,"Performing arts, spectator sports, museums, and related activities",2010,130.9
713,"Amusements, gambling, and recreation industries",2010,112.9
72,"Accommodation and food services",2010,711.8
721,"Accommodation",2010,178.7
722,"Food services and drinking places",2010,533.1
81,"Other services, except government",2010,528.2
FIRE,"Finance, insurance, real estate, rental, and leasing",2010,4468.1
G,"Government",2010,3237.5
GF,"Federal",2010,1113.3
GFE,"Government enterprises",2010,92.9
GFG,"General government",2010,1020.5
GFGD,"National defense",2010,659.0
GFGN,"Nondefense",2010,361.4
GSL,"State and local",2010,2124.2
GSLE,"Government enterprises",2010,242.6
GSLG,"General government",2010,1881.7
HS,"Housing",2010,1604.1
ICT,"Information-communications-technology-producing industries [4]",2010,1509.1
II,"All industries",2010,25395.2
NABI,"Not allocated by industry [1]",2010,-4.7
ORE,"Other real estate",2010,765.9
PGOOD,"Private goods-producing industries [2]",2010,6465.7
PROF,"Professional and business services",2010,2701.0
PSERV,"Private services-producing industries [3]",2010,15693.0
PVT,"Private industries",2010,22157.8
11,"Agriculture, forestry, fishing, and hunting",2011,334.7
111CA,"Farms",2011,292.3
113FF,"Forestry, fishing, and related activities",2011,42.7
21,"Mining",2011,421.5
211,"Oil and gas extraction",2011,238.0
212,"Mining, except oil and gas",2011,113.5
213,"Support activities for mining",2011,73.0
22,"Utilities",2011,385.4
23,"Construction",2011,978.3
311FT,"Food and beverage and tobacco products",2011,766.5
313TT,"Textile mills and textile product mills",2011,47.2
315AL,"Apparel and leather and allied products",2011,24.9
31G,"Manufacturing",2011,4870.6
31ND,"Nondurable goods",2011,2398.1
321,"Wood products",2011,67.0
322,"Paper products",2011,162.3
323,"Printing and related support activities",2011,82.3
324,"Petroleum and coal products",2011,477.9
325,"Chemical products",2011,653.9
326,"Plastics and rubber products",2011,182.3
327,"Nonmetallic mineral products",2011,91.8
331,"Primary metals",2011,217.8
332,"Fabricated metal products",2011,315.4
333,"Machinery",2011,355.6
334,"Computer and electronic products",2011,388.4
335,"Electrical equipment, appliances, and components",2011,110.7
3361MV,"Motor vehicles, bodies and trailers, and parts",2011,479.5
3364OT,"Other transportation equipment",2011,248.5
337,"Furniture and related products",2011,59.0
339,"Miscellaneous manufacturing",2011,151.0
33DG,"Durable goods",2011,2486.5
42,"Wholesale trade",2011,1297.0
441,"Motor vehicle and parts dealers",2011,199.8
445,"Food and beverage stores",2011,201.4
44RT,"Retail trade",2011,1327.8
452,"General merchandise stores",2011,198.5
481,"Air transportation",2011,145.2
482,"Rail transportation",2011,67.3
483,"Water transportation",2011,50.6
484,"Truck transportation",2011,261.7
485,"Transit and ground passenger transportation",2011,44.6
486,"Pipeline transportation",2011,24.3
487OS,"Other transportation and support activities",2011,165.7
48TW,"Transportation and warehousing",2011,841.8
493,"Warehousing and storage",2011,83.2
4A0,"Other retail",2011,728.8
51,"Information",2011,1307.4
511,"Publishing industries, except internet (includes software)",2011,298.8
512,"Motion picture and sound recording industries",2011,137.2
