Industry,Industry Description,Year,Intermediate Inputs (Billions Chained 2009)
7,"Arts, entertainment, recreation, accommodation, and food services",2009,420.8
71,"Arts, entertainment, and recreation",2009,104.3
711AS,"Performing arts, spectator sports, museums, and related activities",2009,53.5
713,"Amusements, gambling, and recreation industries",2009,50.8
72,"Accommodation and food services",2009,316.5
721,"Accommodation",2009,71.8
722,"Food services and drinking places",2009,244.7
81,"Other services, except government",2009,196.5
FIRE,"Finance, insurance, real estate, rental, and leasing",2009,1546.7
G,"Government",2009,1165.6
GF,"Federal",2009,410.3
GFE,"Government enterprises",2009,35.8
GFG,"General government",2009,374.4
GFGD,"National defense",2009,263.1
GFGN,"Nondefense",2009,111.3
GSL,"State and local",2009,755.3
GSLE,"Government enterprises",2009,145.4
GSLG,"General government",2009,609.9
HS,"Housing",2009,126.1
ICT,"Information-communications-technology-producing industries [4]",2009,570.0
II,"All industries",2009,10238.5
NABI,"Not allocated by industry [1]",2009,0.0
ORE,"Other real estate",2009,450.7
PGOOD,"Private goods-producing industries [2]",2009,3550.0
PROF,"Professional and business services",2009,935.1
PSERV,"Private services-producing industries [3]",2009,5522.9
PVT,"Private industries",2009,9072.9
11,"Agriculture, forestry, fishing, and hunting",2010,206.0
111CA,"Farms",2010,193.0
113FF,"Forestry, fishing, and related activities",2010,12.9
21,"Mining",2010,120.0
211,"Oil and gas extraction",2010,70.2
212,"Mining, except oil and gas",2010,35.3
213,"Support activities for mining",2010,13.3
22,"Utilities",2010,140.0
23,"Construction",2010,456.8
311FT,"Food and beverage and tobacco products",2010,539.4
313TT,"Textile mills and textile product mills",2010,33.2
315AL,"Apparel and leather and allied products",2010,7.7
31G,"Manufacturing",2010,2899.3
31ND,"Nondurable goods",2010,1550.2
321,"Wood products",2010,45.0
322,"Paper products",2010,108.9
323,"Printing and related support activities",2010,43.7
324,"Petroleum and coal products",2010,368.2
325,"Chemical products",2010,334.8
326,"Plastics and rubber products",2010,114.6
327,"Nonmetallic mineral products",2010,53.9
331,"Primary metals",2010,165.4
332,"Fabricated metal products",2010,164.5
333,"Machinery",2010,187.4
334,"Computer and electronic products",2010,118.6
335,"Electrical equipment, appliances, and components",2010,54.5
3361MV,"Motor vehicles, bodies and trailers, and parts",2010,322.4
3364OT,"Other transportation equipment",2010,133.2
337,"Furniture and related products",2010,34.3
339,"Miscellaneous manufacturing",2010,70.4
33DG,"Durable goods",2010,1350.6
42,"Wholesale trade",2010,376.9
441,"Motor vehicle and parts dealers",2010,56.9
445,"Food and beverage stores",2010,61.2
44RT,"Retail trade",2010,451.9
452,"General merchandise stores",2010,83.1
481,"Air transportation",2010,73.0
482,"Rail transportation",2010,29.4
483,"Water transportation",2010,35.8
484,"Truck transportation",2010,129.5
485,"Transit and ground passenger transportation",2010,16.6
486,"Pipeline transportation",2010,6.6
487OS,"Other transportation and support activities",2010,70.4
48TW,"Transportation and warehousing",2010,390.8
493,"Warehousing and storage",2010,29.7
4A0,"Other retail",2010,250.3
51,"Information",2010,522.0
511,"Publishing industries, except internet (includes software)",2010,105.7
512,"Motion picture and sound recording industries",2010,28.3
513,"Broadcasting and telecommunications",2010,317.1
514,"Data processing, internet publishing, and other information services",2010,70.9
52,"Finance and insurance",2010,865.5
521CI,"Federal Reserve banks, credit intermediation, and related activities",2010,246.9
523,"Securities, commodity contracts, and investments",2010,215.2
524,"Insurance carriers and related activities",2010,329.8
525,"Funds, trusts, and other financial vehicles",2010,73.7
53,"Real estate and rental and leasing",2010,677.4
531,"Real estate",2010,575.2
532RL,"Rental and leasing services and lessors of intangible assets",2010,102.1
54,"Professional, scientific, and technical services",2010,579.5
5411,"Legal services",2010,72.8
5412OP,"Miscellaneous professional, scientific, and technical services",2010,408.0
5415,"Computer systems design and related services",2010,98.7
55,"Management of companies and enterprises",2010,176.2
56,"Administrative and waste management services",2010,227.3
561,"Administrative and support services",2010,191.1
562,"Waste management and remediation services",2010,36.2
6,"Educational services, health care, and social assistance",2010,796.9
61,"Educational services",2010,108.5
62,"Health care and social assistance",2010,688.6
621,"Ambulatory health care services",2010,283.3
622,"Hospitals",2010,272.6
623,"Nursing and residential care facilities",2010,69.0
624,"Social assistance",2010,63.8
7,"Arts, entertainment, recreation, accommodation, and food services",2010,414.3
71,"Arts, entertainment, and recreation",2010,98.9
711AS,"Performing arts, spectator sports, museums, and related activities",2010,52.5
713,"Amusements, gambling, and recreation industries",2010,46.4
72,"Accommodation and food services",2010,315.4
721,"Accommodation",2010,67.1
722,"Food services and drinking places",2010,248.3
81,"Other services, except government",2010,204.3
FIRE,"Finance, insurance, real estate, rental, and leasing",2010,1542.8
G,"Government",2010,1157.9
GF,"Federal",2010,433.0
GFE,"Government enterprises",2010,36.8
GFG,"General government",2010,396.2
GFGD,"National defense",2010,273.6
GFGN,"Nondefense",2010,122.5
GSL,"State and local",2010,725.1
